Age,PastEmployee,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime
46,No,Travel_Rarely,Human Resources,5,Medical,2,Male,Human Resources,Divorced,5021,8,Yes
37,Yes,Travel_Rarely,Human Resources,6,Human Resources,3,Male,Human Resources,Divorced,2073,4,Yes
59,No,Non-Travel,Human Resources,2,Human Resources,3,Female,Manager,Married,18844,9,No
54,No,Non-Travel,Human Resources,26,Human Resources,4,Female,Manager,Single,17328,2,Yes
26,No,Travel_Rarely,Human Resources,25,Life Sciences,3,Female,Human Resources,Married,2942,1,No
30,No,Travel_Rarely,Human Resources,9,Human Resources,3,Male,Human Resources,Married,6347,0,Yes
59,No,Travel_Rarely,Human Resources,6,Medical,2,Male,Human Resources,Married,2267,8,No
31,No,Travel_Rarely,Human Resources,2,Human Resources,1,Male,Human Resources,Married,6410,3,No
42,No,Travel_Rarely,Human Resources,2,Technical Degree,3,Male,Human Resources,Divorced,2696,0,Yes
19,Yes,Travel_Rarely,Human Resources,2,Technical Degree,1,Male,Human Resources,Single,2564,1,No
34,Yes,Travel_Frequently,Human Resources,23,Human Resources,2,Female,Human Resources,Divorced,9950,9,Yes
26,Yes,Travel_Frequently,Human Resources,17,Life Sciences,2,Female,Human Resources,Divorced,2741,0,Yes
50,No,Travel_Frequently,Human Resources,3,Medical,1,Male,Manager,Married,18200,1,No
44,No,Travel_Rarely,Human Resources,1,Life Sciences,1,Female,Human Resources,Single,5985,4,No
54,No,Travel_Rarely,Human Resources,19,Medical,3,Male,Human Resources,Married,10725,2,No
41,No,Travel_Rarely,Human Resources,10,Human Resources,2,Male,Manager,Divorced,19141,3,No
41,No,Travel_Rarely,Human Resources,1,Human Resources,4,Male,Manager,Married,19189,1,No
39,No,Travel_Rarely,Human Resources,3,Human Resources,3,Female,Human Resources,Married,6389,9,No
36,No,Travel_Rarely,Human Resources,13,Human Resources,3,Male,Human Resources,Married,2143,4,No
34,No,Travel_Rarely,Human Resources,3,Human Resources,3,Male,Human Resources,Married,3737,0,No
